Order ID,Order Date,Customer ID,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,City
ORD-1000,2024-01-15,CUST-137,Accessories - Model 8,Technology,Accessories,485.77,9,0.45,62.98,Central,New York
ORD-1001,2024-10-27,CUST-277,Chairs - Model 47,Furniture,Chairs,352.91,3,0.1,39.76,East,Houston
ORD-1002,2024-04-20,CUST-138,Paper - Model 39,Office Supplies,Paper,350.67,5,0.43,28.78,Central,New York
ORD-1003,2024-07-03,CUST-254,Accessories - Model 50,Technology,Accessories,136.98,6,0.4,10.66,West,Chicago
ORD-1004,2024-09-07,CUST-118,Binders - Model 30,Office Supplies,Binders,426.34,1,0.21,49.36,South,Los Angeles
ORD-1005,2024-02-08,CUST-16,Laptops - Model 17,Technology,Laptops,100.24,1,0.33,18.52,Central,Phoenix
ORD-1006,2024-06-10,CUST-286,Pens - Model 45,Office Supplies,Pens,21.81,5,0.07,4.5,South,Houston
ORD-1007,2024-11-28,CUST-27,Pens - Model 23,Office Supplies,Pens,439.64,8,0.0,76.9,East,Los Angeles
ORD-1008,2024-08-20,CUST-165,Binders - Model 36,Office Supplies,Binders,314.93,4,0.18,75.78,West,Los Angeles
ORD-1009,2024-03-15,CUST-71,Pens - Model 38,Office Supplies,Pens,363.94,3,0.38,50.44,West,Phoenix
ORD-1010,2024-10-24,CUST-223,Pens - Model 37,Office Supplies,Pens,17.36,10,0.14,4.41,West,Chicago
ORD-1011,2024-03-27,CUST-234,Bookcases - Model 38,Furniture,Bookcases,158.38,8,0.42,13.43,South,Houston
ORD-1012,2024-10-05,CUST-104,Chairs - Model 47,Furniture,Chairs,492.0,10,0.2,51.86,South,Chicago
ORD-1013,2024-03-30,CUST-56,Paper - Model 2,Office Supplies,Paper,61.45,9,0.25,6.55,West,Houston
ORD-1014,2024-02-07,CUST-197,Bookcases - Model 39,Furniture,Bookcases,280.24,3,0.09,53.23,Central,Los Angeles
ORD-1015,2024-06-10,CUST-89,Paper - Model 11,Office Supplies,Paper,247.47,2,0.22,26.45,East,Phoenix
ORD-1016,2024-08-19,CUST-150,Chairs - Model 28,Furniture,Chairs,188.2,5,0.48,14.52,South,Phoenix
ORD-1017,2024-03-10,CUST-145,Accessories - Model 30,Technology,Accessories,496.6,8,0.31,92.53,Central,Chicago
ORD-1018,2024-05-25,CUST-18,Tables - Model 43,Furniture,Tables,46.79,4,0.2,7.21,South,New York
ORD-1019,2024-01-15,CUST-184,Phones - Model 38,Technology,Phones,385.32,2,0.38,43.58,East,Chicago
ORD-1020,2024-11-10,CUST-161,Tables - Model 29,Furniture,Tables,332.27,4,0.11,30.49,West,Houston
ORD-1021,2024-02-10,CUST-256,Bookcases - Model 24,Furniture,Bookcases,17.5,4,0.09,3.0,West,Los Angeles
ORD-1022,2024-06-04,CUST-118,Tables - Model 11,Furniture,Tables,445.83,3,0.35,61.2,South,Los Angeles
ORD-1023,2024-09-08,CUST-15,Paper - Model 17,Office Supplies,Paper,240.42,4,0.21,45.94,South,Los Angeles
ORD-1024,2024-07-28,CUST-188,Pens - Model 49,Office Supplies,Pens,300.58,10,0.19,37.58,Central,Chicago
ORD-1025,2024-08-20,CUST-228,Bookcases - Model 39,Furniture,Bookcases,370.98,7,0.03,89.6,East,Phoenix
ORD-1026,2024-04-26,CUST-257,Chairs - Model 26,Furniture,Chairs,32.71,3,0.4,5.65,West,New York
ORD-1027,2024-06-22,CUST-203,Pens - Model 37,Office Supplies,Pens,358.96,2,0.08,86.93,Central,New York
ORD-1028,2024-10-28,CUST-33,Pens - Model 12,Office Supplies,Pens,473.15,1,0.31,97.33,Central,Los Angeles
ORD-1029,2024-12-24,CUST-256,Bookcases - Model 45,Furniture,Bookcases,71.64,4,0.12,11.9,South,Phoenix
ORD-1030,2024-07-07,CUST-200,Phones - Model 14,Technology,Phones,32.12,7,0.03,7.6,East,Los Angeles
ORD-1031,2024-10-24,CUST-227,Bookcases - Model 29,Furniture,Bookcases,58.09,4,0.29,6.84,South,New York
ORD-1032,2024-01-27,CUST-53,Laptops - Model 10,Technology,Laptops,166.55,1,0.04,43.69,South,Chicago
ORD-1033,2024-04-09,CUST-292,Paper - Model 8,Office Supplies,Paper,371.04,2,0.39,50.04,South,Phoenix
ORD-1034,2024-03-15,CUST-260,Binders - Model 23,Office Supplies,Binders,290.17,3,0.2,67.12,East,New York
ORD-1035,2024-08-28,CUST-123,Laptops - Model 35,Technology,Laptops,78.42,8,0.44,6.84,East,Chicago
ORD-1036,2024-06-01,CUST-219,Chairs - Model 42,Furniture,Chairs,53.74,3,0.01,14.83,Central,Houston
ORD-1037,2024-11-21,CUST-92,Tables - Model 34,Furniture,Tables,12.92,2,0.48,0.88,West,New York
ORD-1038,2024-10-31,CUST-53,Tables - Model 30,Furniture,Tables,54.35,1,0.21,6.43,West,Los Angeles
ORD-1039,2024-04-15,CUST-101,Paper - Model 18,Office Supplies,Paper,137.11,10,0.03,13.91,Central,Los Angeles
ORD-1040,2024-04-04,CUST-247,Accessories - Model 13,Technology,Accessories,245.03,7,0.39,16.09,West,Houston
ORD-1041,2024-07-23,CUST-141,Binders - Model 44,Office Supplies,Binders,185.22,2,0.07,46.89,Central,Phoenix
ORD-1042,2024-01-29,CUST-121,Paper - Model 34,Office Supplies,Paper,250.96,10,0.32,48.71,South,Chicago
ORD-1043,2024-05-20,CUST-271,Tables - Model 50,Furniture,Tables,370.39,5,0.24,69.38,South,Los Angeles
ORD-1044,2024-01-02,CUST-27,Paper - Model 13,Office Supplies,Paper,19.45,4,0.45,1.43,East,Los Angeles
ORD-1045,2024-02-23,CUST-121,Bookcases - Model 45,Furniture,Bookcases,411.59,4,0.21,47.19,South,Phoenix
ORD-1046,2024-04-15,CUST-148,Phones - Model 11,Technology,Phones,368.96,2,0.48,20.88,South,New York
ORD-1047,2024-12-30,CUST-246,Bookcases - Model 49,Furniture,Bookcases,369.54,4,0.42,21.59,South,Phoenix
ORD-1048,2024-06-26,CUST-74,Accessories - Model 27,Technology,Accessories,127.49,4,0.47,14.73,Central,New York
ORD-1049,2024-11-11,CUST-239,Binders - Model 42,Office Supplies,Binders,455.53,5,0.21,46.46,West,Houston
ORD-1050,2024-07-20,CUST-240,Phones - Model 50,Technology,Phones,407.07,5,0.4,32.3,East,Los Angeles
ORD-1051,2024-07-25,CUST-80,Binders - Model 38,Office Supplies,Binders,172.43,6,0.19,32.75,South,New York
ORD-1052,2024-10-11,CUST-21,Chairs - Model 15,Furniture,Chairs,92.43,6,0.17,10.41,West,New York
ORD-1053,2024-08-06,CUST-38,Binders - Model 21,Office Supplies,Binders,132.3,4,0.37,19.47,Central,Los Angeles
ORD-1054,2024-03-18,CUST-222,Phones - Model 31,Technology,Phones,102.99,4,0.26,18.55,South,Chicago
ORD-1055,2024-10-06,CUST-290,Laptops - Model 46,Technology,Laptops,90.71,8,0.0,17.71,West,Phoenix
ORD-1056,2024-07-13,CUST-29,Pens - Model 39,Office Supplies,Pens,422.74,9,0.23,96.68,South,Phoenix
ORD-1057,2024-02-25,CUST-130,Tables - Model 2,Furniture,Tables,147.96,8,0.5,21.83,South,New York
ORD-1058,2024-11-19,CUST-34,Bookcases - Model 49,Furniture,Bookcases,254.08,6,0.33,21.44,South,Chicago
ORD-1059,2024-01-08,CUST-131,Laptops - Model 8,Technology,Laptops,459.65,5,0.23,37.03,South,Houston
ORD-1060,2024-04-22,CUST-297,Laptops - Model 48,Technology,Laptops,356.59,10,0.31,59.51,West,Chicago
ORD-1061,2024-09-10,CUST-113,Pens - Model 26,Office Supplies,Pens,49.12,9,0.04,13.18,Central,Phoenix
ORD-1062,2024-02-05,CUST-260,Tables - Model 17,Furniture,Tables,437.18,9,0.35,54.94,Central,Los Angeles
ORD-1063,2024-08-19,CUST-22,Binders - Model 29,Office Supplies,Binders,236.41,3,0.33,36.91,South,Chicago
ORD-1064,2024-04-16,CUST-193,Phones - Model 25,Technology,Phones,137.51,4,0.11,12.59,Central,Houston
ORD-1065,2024-05-06,CUST-199,Tables - Model 4,Furniture,Tables,205.47,9,0.3,33.45,Central,Chicago
ORD-1066,2024-06-05,CUST-112,Binders - Model 49,Office Supplies,Binders,308.06,9,0.14,27.5,East,Los Angeles
ORD-1067,2024-10-17,CUST-23,Binders - Model 35,Office Supplies,Binders,338.08,5,0.42,48.03,Central,Chicago
ORD-1068,2024-08-30,CUST-111,Binders - Model 29,Office Supplies,Binders,273.93,10,0.21,43.94,South,Chicago
ORD-1069,2024-11-17,CUST-252,Binders - Model 4,Office Supplies,Binders,10.44,6,0.47,1.13,West,Houston
ORD-1070,2024-01-24,CUST-38,Phones - Model 23,Technology,Phones,247.19,8,0.33,24.19,South,Chicago
ORD-1071,2024-12-23,CUST-165,Bookcases - Model 14,Furniture,Bookcases,456.79,5,0.12,105.83,West,Phoenix
ORD-1072,2024-01-31,CUST-246,Accessories - Model 23,Technology,Accessories,322.67,7,0.09,67.97,East,New York
ORD-1073,2024-03-30,CUST-265,Laptops - Model 6,Technology,Laptops,37.86,10,0.48,2.32,East,Phoenix
ORD-1074,2024-12-24,CUST-55,Chairs - Model 18,Furniture,Chairs,265.79,6,0.03,39.54,South,Chicago
ORD-1075,2024-05-09,CUST-50,Binders - Model 41,Office Supplies,Binders,119.77,2,0.28,20.59,Central,Los Angeles
ORD-1076,2024-04-12,CUST-46,Tables - Model 32,Furniture,Tables,266.68,4,0.3,47.02,East,Los Angeles
ORD-1077,2024-05-26,CUST-275,Laptops - Model 12,Technology,Laptops,223.45,9,0.3,19.98,East,Phoenix
ORD-1078,2024-10-02,CUST-183,Binders - Model 21,Office Supplies,Binders,426.26,7,0.1,51.0,Central,Houston
ORD-1079,2024-03-31,CUST-158,Binders - Model 19,Office Supplies,Binders,285.15,5,0.21,30.05,South,Phoenix
ORD-1080,2024-01-19,CUST-54,Accessories - Model 39,Technology,Accessories,66.15,5,0.23,10.65,South,Houston
ORD-1081,2024-08-08,CUST-36,Binders - Model 45,Office Supplies,Binders,400.44,10,0.25,82.95,East,Los Angeles
ORD-1082,2024-12-02,CUST-21,Pens - Model 24,Office Supplies,Pens,152.95,8,0.3,23.69,West,Los Angeles
ORD-1083,2024-01-31,CUST-297,Chairs - Model 39,Furniture,Chairs,192.62,5,0.43,31.8,West,Los Angeles
ORD-1084,2024-09-18,CUST-166,Tables - Model 42,Furniture,Tables,113.6,3,0.06,11.09,South,Los Angeles
ORD-1085,2024-12-26,CUST-71,Chairs - Model 7,Furniture,Chairs,69.84,6,0.11,8.8,West,Houston
ORD-1086,2024-11-28,CUST-234,Laptops - Model 21,Technology,Laptops,491.01,2,0.35,45.48,Central,Phoenix
ORD-1087,2024-01-08,CUST-291,Chairs - Model 12,Furniture,Chairs,355.07,3,0.42,51.65,East,New York
ORD-1088,2024-09-06,CUST-173,Pens - Model 43,Office Supplies,Pens,155.57,2,0.16,27.19,South,Phoenix
ORD-1089,2024-04-18,CUST-207,Tables - Model 42,Furniture,Tables,328.76,2,0.16,62.93,West,Chicago
ORD-1090,2024-10-05,CUST-197,Binders - Model 38,Office Supplies,Binders,415.69,6,0.45,62.22,East,Chicago
ORD-1091,2024-04-22,CUST-109,Pens - Model 2,Office Supplies,Pens,483.19,3,0.41,83.46,East,Los Angeles
ORD-1092,2024-09-14,CUST-248,Phones - Model 8,Technology,Phones,460.78,2,0.17,64.76,East,New York
ORD-1093,2024-12-27,CUST-212,Pens - Model 34,Office Supplies,Pens,363.31,6,0.26,28.6,West,Los Angeles
ORD-1094,2024-08-08,CUST-213,Tables - Model 43,Furniture,Tables,263.64,1,0.35,20.14,East,Houston
ORD-1095,2024-05-25,CUST-227,Laptops - Model 2,Technology,Laptops,368.73,7,0.43,21.68,West,New York
ORD-1096,2024-08-05,CUST-105,Pens - Model 32,Office Supplies,Pens,457.01,4,0.35,78.73,East,Phoenix
ORD-1097,2024-03-21,CUST-236,Tables - Model 2,Furniture,Tables,336.87,6,0.31,56.38,East,New York
ORD-1098,2024-05-17,CUST-5,Phones - Model 20,Technology,Phones,93.59,6,0.28,9.16,West,Los Angeles
ORD-1099,2024-03-23,CUST-35,Bookcases - Model 36,Furniture,Bookcases,100.53,10,0.03,24.16,East,Chicago
ORD-1100,2024-02-05,CUST-65,Chairs - Model 22,Furniture,Chairs,105.08,4,0.12,19.81,West,Houston
ORD-1101,2024-07-01,CUST-196,Paper - Model 28,Office Supplies,Paper,76.07,4,0.22,16.83,East,New York
ORD-1102,2024-06-20,CUST-158,Laptops - Model 23,Technology,Laptops,324.25,4,0.2,32.5,West,Chicago
ORD-1103,2024-01-17,CUST-60,Binders - Model 50,Office Supplies,Binders,102.63,8,0.16,22.92,West,New York
ORD-1104,2024-05-09,CUST-124,Bookcases - Model 13,Furniture,Bookcases,320.01,1,0.31,33.26,East,Houston
ORD-1105,2024-10-19,CUST-219,Laptops - Model 1,Technology,Laptops,321.89,3,0.18,68.21,West,New York
ORD-1106,2024-09-08,CUST-57,Chairs - Model 36,Furniture,Chairs,287.04,5,0.45,16.59,East,Los Angeles
ORD-1107,2024-05-31,CUST-275,Pens - Model 24,Office Supplies,Pens,62.75,4,0.04,18.01,South,New York
ORD-1108,2024-03-06,CUST-159,Binders - Model 47,Office Supplies,Binders,142.09,6,0.4,9.61,East,New York
ORD-1109,2024-07-17,CUST-294,Chairs - Model 12,Furniture,Chairs,483.77,7,0.22,101.41,East,New York
ORD-1110,2024-04-27,CUST-203,Paper - Model 11,Office Supplies,Paper,40.06,3,0.02,8.62,Central,Chicago
ORD-1111,2024-07-13,CUST-45,Phones - Model 39,Technology,Phones,63.64,3,0.16,8.43,East,Los Angeles
ORD-1112,2024-09-25,CUST-235,Binders - Model 34,Office Supplies,Binders,41.51,5,0.29,7.55,West,Los Angeles
ORD-1113,2024-08-10,CUST-6,Phones - Model 11,Technology,Phones,303.81,9,0.26,56.5,East,New York
ORD-1114,2024-02-03,CUST-264,Binders - Model 11,Office Supplies,Binders,407.89,5,0.06,98.3,Central,Houston
ORD-1115,2024-07-18,CUST-59,Paper - Model 36,Office Supplies,Paper,401.8,5,0.21,58.97,West,New York
ORD-1116,2024-01-11,CUST-257,Bookcases - Model 21,Furniture,Bookcases,64.18,6,0.21,14.85,West,Los Angeles
ORD-1117,2024-08-05,CUST-289,Tables - Model 25,Furniture,Tables,87.29,8,0.38,7.88,West,Los Angeles
ORD-1118,2024-08-21,CUST-59,Bookcases - Model 6,Furniture,Bookcases,189.55,3,0.12,39.79,East,New York
ORD-1119,2024-08-11,CUST-280,Laptops - Model 21,Technology,Laptops,115.28,8,0.41,14.76,Central,Houston
ORD-1120,2024-12-19,CUST-227,Accessories - Model 30,Technology,Accessories,398.48,5,0.16,55.33,South,Houston
ORD-1121,2024-03-07,CUST-248,Chairs - Model 9,Furniture,Chairs,258.65,9,0.08,65.05,South,Phoenix
ORD-1122,2024-07-31,CUST-267,Laptops - Model 43,Technology,Laptops,300.44,5,0.19,25.46,West,New York
ORD-1123,2024-02-23,CUST-143,Tables - Model 6,Furniture,Tables,220.44,8,0.21,39.86,Central,Los Angeles
ORD-1124,2024-02-22,CUST-212,Accessories - Model 25,Technology,Accessories,71.53,8,0.34,4.77,West,Chicago
ORD-1125,2024-05-26,CUST-128,Chairs - Model 33,Furniture,Chairs,51.83,9,0.22,11.36,West,Chicago
ORD-1126,2024-12-07,CUST-90,Paper - Model 3,Office Supplies,Paper,146.97,10,0.45,10.28,East,Phoenix
ORD-1127,2024-11-08,CUST-228,Pens - Model 8,Office Supplies,Pens,220.77,8,0.07,21.22,South,Houston
ORD-1128,2024-07-28,CUST-99,Chairs - Model 10,Furniture,Chairs,430.17,7,0.0,54.12,South,Phoenix
ORD-1129,2024-04-18,CUST-8,Pens - Model 29,Office Supplies,Pens,73.89,8,0.25,13.19,West,Phoenix
ORD-1130,2024-11-16,CUST-190,Tables - Model 27,Furniture,Tables,254.88,9,0.2,39.88,East,Phoenix
ORD-1131,2024-12-23,CUST-95,Tables - Model 37,Furniture,Tables,498.26,9,0.18,73.15,East,New York
ORD-1132,2024-06-20,CUST-2,Phones - Model 14,Technology,Phones,10.53,4,0.49,1.52,East,Chicago
ORD-1133,2024-11-07,CUST-135,Laptops - Model 28,Technology,Laptops,494.07,2,0.45,50.05,East,Los Angeles
ORD-1134,2024-12-17,CUST-263,Accessories - Model 31,Technology,Accessories,124.82,6,0.21,25.7,Central,Phoenix
ORD-1135,2024-05-05,CUST-213,Accessories - Model 32,Technology,Accessories,39.34,8,0.27,8.02,South,Los Angeles
ORD-1136,2024-02-23,CUST-224,Binders - Model 50,Office Supplies,Binders,282.46,5,0.17,69.65,Central,New York
ORD-1137,2024-02-18,CUST-173,Accessories - Model 35,Technology,Accessories,51.51,9,0.44,8.36,Central,Chicago
ORD-1138,2024-03-10,CUST-232,Chairs - Model 12,Furniture,Chairs,40.12,2,0.23,5.44,West,New York
ORD-1139,2024-03-31,CUST-28,Laptops - Model 20,Technology,Laptops,436.84,7,0.09,118.32,Central,Houston
ORD-1140,2024-01-25,CUST-203,Bookcases - Model 42,Furniture,Bookcases,489.38,5,0.03,49.79,West,New York
ORD-1141,2024-06-12,CUST-122,Laptops - Model 8,Technology,Laptops,242.6,4,0.07,41.85,West,Houston
ORD-1142,2024-10-30,CUST-100,Laptops - Model 30,Technology,Laptops,330.91,10,0.01,59.79,South,Houston
ORD-1143,2024-01-20,CUST-278,Paper - Model 24,Office Supplies,Paper,72.15,2,0.16,14.45,South,Chicago
ORD-1144,2024-04-09,CUST-102,Chairs - Model 8,Furniture,Chairs,466.16,6,0.13,109.56,South,Chicago
ORD-1145,2024-11-22,CUST-235,Chairs - Model 19,Furniture,Chairs,470.35,3,0.39,77.42,West,New York
ORD-1146,2024-09-08,CUST-192,Laptops - Model 49,Technology,Laptops,321.94,9,0.12,81.96,Central,Phoenix
ORD-1147,2024-04-16,CUST-295,Laptops - Model 14,Technology,Laptops,344.33,6,0.26,37.39,East,Chicago
ORD-1148,2024-02-04,CUST-13,Paper - Model 39,Office Supplies,Paper,374.09,4,0.46,46.88,East,Houston
ORD-1149,2024-03-19,CUST-46,Phones - Model 31,Technology,Phones,254.12,8,0.27,23.4,West,Los Angeles
ORD-1150,2024-02-01,CUST-107,Pens - Model 24,Office Supplies,Pens,58.87,5,0.04,8.69,West,Phoenix
ORD-1151,2024-05-09,CUST-189,Phones - Model 12,Technology,Phones,177.09,10,0.34,22.51,West,Los Angeles
ORD-1152,2024-11-05,CUST-249,Phones - Model 2,Technology,Phones,221.29,2,0.26,49.06,South,Chicago
ORD-1153,2024-11-10,CUST-251,Paper - Model 14,Office Supplies,Paper,132.36,3,0.06,36.25,Central,Houston
ORD-1154,2024-05-30,CUST-131,Laptops - Model 15,Technology,Laptops,197.64,7,0.15,37.92,East,Phoenix
ORD-1155,2024-12-01,CUST-11,Bookcases - Model 1,Furniture,Bookcases,19.84,5,0.13,2.89,South,Chicago
ORD-1156,2024-02-12,CUST-5,Accessories - Model 9,Technology,Accessories,309.42,3,0.22,70.86,South,Houston
ORD-1157,2024-01-30,CUST-283,Chairs - Model 15,Furniture,Chairs,387.28,5,0.28,66.03,Central,Los Angeles
ORD-1158,2024-06-11,CUST-68,Pens - Model 8,Office Supplies,Pens,40.0,1,0.08,7.25,West,Houston
ORD-1159,2024-05-06,CUST-17,Binders - Model 13,Office Supplies,Binders,418.16,4,0.15,106.51,West,Phoenix
ORD-1160,2024-04-17,CUST-136,Pens - Model 20,Office Supplies,Pens,228.38,8,0.14,58.71,South,Houston
ORD-1161,2024-01-07,CUST-217,Pens - Model 50,Office Supplies,Pens,150.76,3,0.13,16.99,Central,Houston
ORD-1162,2024-03-31,CUST-143,Chairs - Model 43,Furniture,Chairs,56.47,7,0.15,6.41,West,Houston
ORD-1163,2024-09-29,CUST-298,Tables - Model 2,Furniture,Tables,187.82,5,0.02,23.76,East,Houston
ORD-1164,2024-08-04,CUST-289,Bookcases - Model 20,Furniture,Bookcases,483.61,6,0.24,46.26,East,Los Angeles
ORD-1165,2024-10-25,CUST-85,Bookcases - Model 20,Furniture,Bookcases,408.1,2,0.39,72.51,Central,Phoenix
ORD-1166,2024-07-07,CUST-184,Laptops - Model 2,Technology,Laptops,21.5,6,0.35,1.96,Central,New York
ORD-1167,2024-08-12,CUST-186,Phones - Model 2,Technology,Phones,400.46,6,0.05,94.54,West,Phoenix
ORD-1168,2024-07-29,CUST-223,Phones - Model 20,Technology,Phones,191.35,10,0.15,25.41,Central,Houston
ORD-1169,2024-01-09,CUST-198,Pens - Model 16,Office Supplies,Pens,218.46,2,0.44,23.46,West,New York
